,index,Name,Dates,Prices,Link,Filtered
35,277,Zotac geforce gtx 1050 2GB ,2022-03-13,120.0,https://www.ebay.com/itm/255431278401?hash=item3b78e3ff41:g:UVkAAOSwtCtiLAvk,False
37,293,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-12,100.0,https://www.ebay.com/itm/144450194513?epid=16021686725&hash=item21a1e70c51:g:mDEAAOSwW69iJjG3,False
39,302,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-11,91.0,https://www.ebay.com/itm/234451056144?epid=16021686725&hash=item36965f3610:g:a1AAAOSwYqZiIk3Q,False
40,304,EVGA GTX 1050 2GB GDDR5 NVIDIA GPU Graphics Card,2022-03-11,138.0,https://www.ebay.com/itm/334359340255?hash=item4dd95ea4df:g:3n4AAOSw2KRiKjlU,False
41,357,GTX 1050 2GB red nvidia Geforce HP 918162-001,2022-03-07,100.0,https://www.ebay.com/itm/265572575511?epid=4016477243&hash=item3dd55be917:g:S1EAAOSw0FNiHZhq,False
42,368,GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-03-07,122.5,https://www.ebay.com/itm/224864982220?epid=25026719829&hash=item345aff54cc:g:K7wAAOSwOHBeTez3,False
43,370,GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-03-07,112.5,https://www.ebay.com/itm/224860936949?epid=25026719829&hash=item345ac19af5:g:6QoAAOSw3DtiG~9H,False
44,373,GIGABYTE NVIDIA GeForce GTX 1050 2GB GDDR5 Graphics Card (GV-N1050WF2OC-2GD),2022-03-07,100.0,https://www.ebay.com/itm/353937645100?epid=2256039066&hash=item526853de2c:g:QowAAOSwF4hiG5n-,False
45,401,Gigabyte Geforce GTX 1050 2GB GDDR5 128 Bit PCI-E Graphic Card (GV-N1050OC-2GD),2022-03-06,96.0,https://www.ebay.com/itm/194878542007?epid=25026719829&hash=item2d5faa90b7:g:n6EAAOSwxKhiHAgo,False
46,403,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-06,128.14,https://www.ebay.com/itm/403519740887?epid=16021686725&hash=item5df3a69bd7:g:lMcAAOSwd85iI7DE,False
47,404,Gigabyte GTX 1050 2GB,2022-03-06,102.5,https://www.ebay.com/itm/275186504427?hash=item401264d2eb:g:9v4AAOSw5gxiG7ui,False
51,441,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-03,91.28,https://www.ebay.com/itm/265566165460?epid=16021686725&hash=item3dd4fa19d4:g:daQAAOSwKyBiGFmk,False
52,450,ZOTAC GeForce GTX 1050 - 2GB ,2022-03-03,92.0,https://www.ebay.com/itm/134036782745?hash=item1f3536fe99:g:4REAAOSwEKliGp7W,False
53,459,Gigabyte Geforce GTX 1050 2GB GDDR5 128 Bit PCI-E Graphic Card (GV-N1050OC-2GD),2022-03-03,105.5,https://www.ebay.com/itm/255403437895?epid=25026719829&hash=item3b773b2f47:g:RSgAAOSw7lpiF8y0,False
54,461,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-03,132.5,https://www.ebay.com/itm/154862064308?epid=16021686725&hash=item240e7f92b4:g:HTwAAOSwHMZiE8pc,False
55,463,"HP OEM GTX 1050 2GB (DVI, HDMI, and DisplayPort) - TESTED WORKING",2022-03-03,105.0,https://www.ebay.com/itm/115276042041?hash=item1ad6fccf39:g:5o0AAOSw3MRiH-ep,False
56,467,GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-03-02,117.5,https://www.ebay.com/itm/165353242837?epid=25026719829&hash=item267fd240d5:g:0lkAAOSwtmliFu0u,False
57,470,EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-02,133.41,https://www.ebay.com/itm/125167900985?epid=16021686725&hash=item1d24969939:g:n-QAAOSwNUxiGFn~,False
58,472,MSI GeForce GTX 1050 2G OC Video Graphics Card 2GB GDDR5 ,2022-03-02,109.99,https://www.ebay.com/itm/234448093593?epid=6034218972&hash=item3696320199:g:h5AAAOSwgC1iH-v3,False
