,index,Name,Dates,Prices,Link,Filtered
31,35,EVGA GeForce GTX 1050 TI SSC Gaming 4GB GDDR5 Graphics Card,2022-03-26,160.0,https://www.ebay.com/itm/294885276804?epid=19032163836&hash=item44a8883c84:g:q4cAAOSwiGViPoDn,False
32,37,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-26,145.0,https://www.ebay.com/itm/373984165976?epid=20003297363&hash=item5713318058:g:lc8AAOSw2XRiNOIk,False
33,38,MSI Geforce GTX 1050 ti 4 GB Video Card 1050ti 4gb Ge Force Gaming X,2022-03-26,160.5,https://www.ebay.com/itm/384788960039?hash=item5997359327:g:tTwAAOSwKGNiNiXO,False
34,39,ZOTAC Geforce GTX 1050 Ti Mini 4GB GDDR5 Gaming Graphic Card - C08,2022-03-26,125.0,https://www.ebay.com/itm/165394674662?epid=14026724690&hash=item26824a73e6:g:9fgAAOSw0GNiHxca,False
35,41,EVGA NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 GPU (04G-P4-6251-KR),2022-03-26,169.0,https://www.ebay.com/itm/255434603512?hash=item3b7916bbf8:g:kwEAAOSwdI1iLnaw,False
36,43,ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G),2022-03-25,165.0,https://www.ebay.com/itm/134065332101?epid=18036427347&hash=item1f36ea9f85:g:A6IAAOSwPPViPgVn,False
37,44,EVGA GeForce GTX 1050 Ti 4GB GDDR5 04G-p4-6251-kr graphics card,2022-03-25,120.5,https://www.ebay.com/itm/125210573820?hash=item1d2721bbfc:g:nGEAAOSweXliNRCB,False
39,49,ZOTAC Geforce GTX 1050 Ti Mini 4GB GDDR5 Gaming Graphic Card (ZT-P10510A-10L),2022-03-25,110.5,https://www.ebay.com/itm/373982990379?epid=14026724690&hash=item57131f902b:g:X88AAOSwY0ZiNOFY,False
40,50,Used MSI NVIDIA GeForce GTX 1050 TI GAMING X 4GB TWIN FROZR VI ,2022-03-25,136.0,https://www.ebay.com/itm/185340745894?epid=21030523268&hash=item2b272b58a6:g:BxcAAOSwrltiMMCG,False
41,53,ASUS NVIDIA GeForce GTX 1050 TI STRIX OC Gaming 4gb Gddr5 ,2022-03-25,150.0,https://www.ebay.com/itm/384798876498?epid=5026729071&hash=item5997cce352:g:NBIAAOSwM6NiPe4g,False
42,54,ZOTAC Geforce GTX 1050 Ti Mini,2022-03-25,117.5,https://www.ebay.com/itm/284709858440?epid=14026724690&hash=item424a07ac88:g:H0EAAOSw59FiNJnu,False
43,55,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-25,122.78,https://www.ebay.com/itm/384793304254?epid=20003297363&hash=item599777dcbe:g:xx0AAOSwppViOcmv,False
44,56,EVGA GeForce GTX 1050 Ti FTW 4GB GDDR5 Graphics Card ACX 3.0,2022-03-25,150.0,https://www.ebay.com/itm/373990107523?epid=16028670613&hash=item57138c2983:g:kWAAAOSwJw9iKXzq,False
45,57,PNY GeForce GTX 1050 Ti OC 4GB GDDR5 Graphics Card,2022-03-25,155.0,https://www.ebay.com/itm/373985832545?hash=item57134aee61:g:RE4AAOSwebJiHZ1H,False
47,59,EVGA GeForce GTX 1050 TI 4gb SC Gaming,2022-03-24,120.5,https://www.ebay.com/itm/393991817905?epid=20003297363&hash=item5bbbbe0ab1:g:pU4AAOSwRU5iM~1O,False
48,60,MSI GeForce GTX 1050 Ti 4 GT OC 4GB 128-Bit GDDR5 HDCP Ready ATX Video Card,2022-03-24,140.0,https://www.ebay.com/itm/304405954961?epid=22025879252&hash=item46e0024191:g:bH8AAOSwGWliG-T~,False
49,62,Asus GeForce GTX 1050 Ti 4GB Phoenix Fan Edition PH-GTX1050TI-4G Graphic Card ,2022-03-24,143.0,https://www.ebay.com/itm/144472901094?epid=28031984310&hash=item21a34185e6:g:DZQAAOSwW~FiOgqe,False
50,63,EVGA GeForce® GTX 1050 Ti Superclocked Gaming 4GB GDDR5,2022-03-24,170.0,https://www.ebay.com/itm/144470892776?epid=20003297363&hash=item21a322e0e8:g:11kAAOSwblJiN9LP,False
51,64,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-24,128.5,https://www.ebay.com/itm/194922652250?epid=20003297363&hash=item2d624ba25a:g:lIEAAOSw-FxiM7pZ,False
52,65,Open Box - Nvidia Geforce GTX 1050 Ti 4GB GDDR5 128 Bit PCI-E Graphic Card,2022-03-24,150.0,https://www.ebay.com/itm/373978580279?epid=23021240346&hash=item5712dc4537:g:ug4AAOSwZaRiMRwv,False
53,66,ASUS Phoenix GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-24,138.5,https://www.ebay.com/itm/255441229734?epid=19003115284&hash=item3b797bd7a6:g:LZYAAOSw2uNiMijz,False
54,70,MSI NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card,2022-03-24,180.0,https://www.ebay.com/itm/175212786738?hash=item28cb7ef432:g:f7MAAOSwNs5iO~2v,False
55,71,GIGABYTE GeForce GTX 1050 TI Windforce OC 4GB GDDR5 Graphics Card,2022-03-24,180.0,https://www.ebay.com/itm/194875773202?epid=18032167986&hash=item2d5f805112:g:pCoAAOSw0GNiGmne,False
56,72,GIGABYTE GeForce GTX 1050 TI Windforce OC 4GB GDDR5 Graphics Card,2022-03-24,180.0,https://www.ebay.com/itm/175212788762?epid=18032167986&hash=item28cb7efc1a:g:ia8AAOSwABRiO~8i,False
57,73,MSI Gaming GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX,2022-03-24,198.99,https://www.ebay.com/itm/144462000893?epid=10021692240&hash=item21a29b32fd:g:WbcAAOSwQC9iL-3N,False
58,74,MSI GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GTX1050TI4GTOC),2022-03-24,150.0,https://www.ebay.com/itm/313927179119?epid=22025879252&hash=item4917849b6f:g:9SwAAOSwVCliLCsY,False
59,75,graphics/video cards 1050 ti,2022-03-24,120.0,https://www.ebay.com/itm/353971816863?hash=item526a5d499f:g:TqMAAOSw7yViOgXy,False
