Name,Dates,Prices,Link
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-27 00:00:00,137.5,https://www.ebay.com/itm/175213179091?epid=20003297363&hash=item28cb84f0d3:g:Ir0AAOSwTXViNKu8
GIGABYTE NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card (GVN105TOC4GL),2022-03-27 00:00:00,143.0,https://www.ebay.com/itm/234474626470?epid=11030515113&hash=item3697c6dda6:g:Y0sAAOSwpw1iNxTP
Gigabyte NVIDIA GeForce GTX 1050 OC 2GB GDDR5 Video Card GV-N1050OC-2GL,2022-03-27 00:00:00,119.99,https://www.ebay.com/itm/255454875410?epid=9019591270&hash=item3b7a4c0f12:g:IAsAAOSwJ2dh5FVA
5PCS ASUS Graphics Cards PH-GTX 1050 2G 128Bit GDDR5 Video Card,2022-03-26 00:00:00,840.0,https://www.ebay.com/itm/184795081218?hash=item2b06a52a02:g:N40AAOSw4bNgYfJt
GIGABYTE GTX 1050 Ti OC 4GB GDDR5 Graphics Card (GV-N105TOC-4GD),2022-03-26 00:00:00,140.0,https://www.ebay.com/itm/224898808951?epid=26037356601&hash=item345d037c77:g:vsAAAOSwJbNiOQQb
GIGABYTE GTX 1050 Ti OC 4GB GDDR5 Graphics Card (GV-N105TOC-4GD),2022-03-26 00:00:00,135.0,https://www.ebay.com/itm/224898713721?epid=26037356601&hash=item345d020879:g:vsAAAOSwJbNiOQQb
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-26 00:00:00,147.6,https://www.ebay.com/itm/393994398005?epid=20003297363&hash=item5bbbe56935:g:J2YAAOSwpDhiNlMg
msi geforce gtx 1050 ti gaming x 4g,2022-03-26 00:00:00,128.25,https://www.ebay.com/itm/294873489293?hash=item44a7d45f8d:g:tkYAAOSw~NRiNkK5
EVGA GeForce GTX 1050 TI SSC Gaming 4GB GDDR5 Graphics Card,2022-03-26 00:00:00,160.0,https://www.ebay.com/itm/294885276804?epid=19032163836&hash=item44a8883c84:g:q4cAAOSwiGViPoDn
PNY Nvidia GeForce GTX 1050 2GB GPU VRAM Graphics Card PC Gaming Used,2022-03-26 00:00:00,139.97,https://www.ebay.com/itm/125223550709?hash=item1d27e7bef5:g:wVEAAOSwtydiPjgl
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-26 00:00:00,145.0,https://www.ebay.com/itm/373984165976?epid=20003297363&hash=item5713318058:g:lc8AAOSw2XRiNOIk
MSI Geforce GTX 1050 ti 4 GB Video Card 1050ti 4gb Ge Force Gaming X,2022-03-26 00:00:00,160.5,https://www.ebay.com/itm/384788960039?hash=item5997359327:g:tTwAAOSwKGNiNiXO
ZOTAC Geforce GTX 1050 Ti Mini 4GB GDDR5 Gaming Graphic Card - C08,2022-03-26 00:00:00,125.0,https://www.ebay.com/itm/165394674662?epid=14026724690&hash=item26824a73e6:g:9fgAAOSw0GNiHxca
Nvidia GTX 1050 2GD5,2022-03-26 00:00:00,100.0,https://www.ebay.com/itm/185347881224?hash=item2b27983908:g:zY0AAOSwYjRiKJfX
EVGA NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 GPU (04G-P4-6251-KR),2022-03-26 00:00:00,169.0,https://www.ebay.com/itm/255434603512?hash=item3b7916bbf8:g:kwEAAOSwdI1iLnaw
GIGABYTE GeForce GTX 1050 2GB Graphics Card,2022-03-25 00:00:00,107.5,https://www.ebay.com/itm/234472615343?epid=25026719829&hash=item3697a82daf:g:448AAOSwGS1iNO6i
ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G),2022-03-25 00:00:00,165.0,https://www.ebay.com/itm/134065332101?epid=18036427347&hash=item1f36ea9f85:g:A6IAAOSwPPViPgVn
EVGA GeForce GTX 1050 Ti 4GB GDDR5 04G-p4-6251-kr graphics card,2022-03-25 00:00:00,120.5,https://www.ebay.com/itm/125210573820?hash=item1d2721bbfc:g:nGEAAOSweXliNRCB
EVGA Geforce GTX 1050 2GB Graphics Card  (02G-P4-6150-KR),2022-03-25 00:00:00,92.0,https://www.ebay.com/itm/165390931212?epid=16021686725&hash=item268211550c:g:-VoAAOSwAOxiNPCb
EVGA Geforce GTX 1050 (02G-P4-6150-KR) 2GB Graphics Card,2022-03-25 00:00:00,74.0,https://www.ebay.com/itm/154905853323?epid=16021686725&hash=item24111bbd8b:g:uksAAOSwV9tiK8Cz
MSI GeForce GTX 1050Ti 4GB GDDR5 Low Profile Graphics Card,2022-03-25 00:00:00,189.0,https://www.ebay.com/itm/384787614885?epid=20032166712&hash=item5997210ca5:g:Cy4AAOSwkqZiM3Ax
ASUS NVIDIA GeForce GTX 1050 TI STRIX OC Gaming 4gb Gddr5,2022-03-25 00:00:00,215.0,https://www.ebay.com/itm/185357339749?epid=5026729071&hash=item2b28288c65:g:WaUAAOSwNrViMPRE
